top_n,quantile,radius_multiplier,stage,n_samples,observed_fraction_mean,null_mean_mean,enrichment_delta_mean,empirical_p_greater_median,empirical_p_less_median,positive_and_p_greater_lt_0_05
10,0.7,0.75,MIA,2,0.33053648614289344,0.3016591884656227,0.028877297677270763,0.208955223880597,0.8059701492537313,False
10,0.7,1.0,MIA,2,0.6230014507710024,0.6273719358071224,-0.004370485036119809,0.5323383084577115,0.47761194029850745,False
10,0.7,1.25,MIA,2,0.857667399530369,0.9024666846143492,-0.04479928508398018,0.945273631840796,0.06965174129353234,False
10,0.75,0.75,MIA,2,0.2855559143256915,0.25190665697987297,0.033649257345818556,0.06716417910447761,0.955223880597015,False
10,0.75,1.0,MIA,2,0.5355828220858896,0.5513683941448714,-0.01578557205898179,0.691542288557214,0.3283582089552239,False
10,0.75,1.25,MIA,2,0.8054299860079648,0.8468401679044236,-0.0414101818964589,0.8582089552238805,0.16417910447761194,False
10,0.8,0.75,MIA,2,0.23671310629514963,0.20046689213442814,0.03624621416072149,0.16666666666666666,0.8582089552238805,False
10,0.8,1.0,MIA,2,0.4368746354376991,0.4614316081123525,-0.02455697267465337,0.6716417910447761,0.3606965174129353,False
10,0.8,1.25,MIA,2,0.7046484497689236,0.7679853165522501,-0.06333686678332656,0.8557213930348259,0.17164179104477612,False
20,0.7,0.75,MIA,2,0.3021529740805552,0.30106268975935147,0.0010902843212036994,0.5572139303482587,0.46766169154228854,False
20,0.7,1.0,MIA,2,0.574393143985283,0.6300214063504883,-0.055628262365205405,0.9776119402985075,0.03980099502487562,False
20,0.7,1.25,MIA,2,0.8437168154828674,0.9044540726282886,-0.060737257145421164,1.0,0.007462686567164179,False
20,0.75,0.75,MIA,2,0.24558712732752125,0.2503650306748466,-0.004777903347325391,0.6368159203980099,0.39054726368159204,False
20,0.75,1.0,MIA,2,0.4989021633839199,0.5521869820256162,-0.05328481864169632,0.9203980099502487,0.08955223880597016,False
20,0.75,1.25,MIA,2,0.7817511570336886,0.8475558336024109,-0.06580467656872235,0.972636815920398,0.03482587064676617,False
20,0.8,0.75,MIA,2,0.1823540629066272,0.1994542221923094,-0.017100159285682218,0.7114427860696517,0.31840796019900497,False
20,0.8,1.0,MIA,2,0.403435859469646,0.46323091937003635,-0.059795059900390385,0.8905472636815921,0.13184079601990048,False
20,0.8,1.25,MIA,2,0.6686521290438372,0.7663208092161349,-0.09766868017229774,0.9751243781094527,0.03482587064676617,False
30,0.7,0.75,MIA,2,0.3961913522083128,0.3010436203466894,0.09514773186162334,0.004975124378109453,1.0,True
30,0.7,1.0,MIA,2,0.7060730470677974,0.6260209987885315,0.08005204827926593,0.004975124378109453,1.0,True
30,0.7,1.25,MIA,2,0.9210077623726836,0.9031901631743467,0.017817599198336864,0.18407960199004975,0.8283582089552239,False
30,0.75,0.75,MIA,2,0.3450328274674416,0.24887845764718544,0.09615436982025619,0.004975124378109453,1.0,True
30,0.75,1.0,MIA,2,0.6075503175115704,0.5511826767839845,0.05636764072758582,0.017412935323383085,0.9900497512437811,True
30,0.75,1.25,MIA,2,0.8683349477989453,0.8469807340436982,0.021354213755247042,0.1691542288557214,0.8557213930348259,False
30,0.8,0.75,MIA,2,0.2905225019069413,0.19970282563826447,0.09081967626867679,0.004975124378109453,1.0,True
30,0.8,1.0,MIA,2,0.5165343025081887,0.4609760174092521,0.055558285098936594,0.02487562189054726,0.9850746268656716,True
30,0.8,1.25,MIA,2,0.8171972450307354,0.7674826412258267,0.049714603804908775,0.07711442786069651,0.9353233830845771,False
