target,stage,n_samples,n_tests,n_invalid_tests,n_valid_samples,n_valid_tests,observed_fraction_mean,null_mean_mean,enrichment_delta_mean,empirical_p_greater_median,empirical_p_less_median
c1q_macrophage,Normal,1,1,0,1,1,0.44555091551557985,0.3750915515579827,0.07045936395759717,0.009900990099009901,1.0
c1q_macrophage,AAH,11,11,1,10,10,0.4862039497514412,0.40653199702881926,0.07967195272262195,0.009900990099009901,1.0
c1q_macrophage,AIS,14,14,1,13,13,0.5583111814493946,0.4153938051379939,0.1429173763114007,0.009900990099009901,1.0
c1q_macrophage,MIA,4,4,1,3,3,0.6855088228289027,0.42016703363445984,0.2653417891944428,0.009900990099009901,1.0
c1q_macrophage,LUAD,26,26,1,25,25,0.6214736950505967,0.4188558743757894,0.20261782067480724,0.009900990099009901,1.0
inflammatory_macrophage,Normal,1,1,0,1,1,0.5746867973016383,0.37484420173466115,0.19984259556697714,0.009900990099009901,1.0
inflammatory_macrophage,AAH,11,11,1,10,10,0.5719741022457796,0.40643358041437894,0.1655405218314007,0.009900990099009901,1.0
inflammatory_macrophage,AIS,14,14,1,13,13,0.6209388878317819,0.41516270546721906,0.2057761823645628,0.009900990099009901,1.0
inflammatory_macrophage,MIA,4,4,1,3,3,0.6595593268909995,0.4200832828683005,0.23947604402269906,0.009900990099009901,1.0
inflammatory_macrophage,LUAD,26,26,1,25,25,0.6231178197601497,0.4193765338851188,0.2037412858750308,0.009900990099009901,1.0
resident_macrophage,Normal,1,1,0,1,1,0.5393511082557019,0.3749052361066495,0.16444587214905237,0.009900990099009901,1.0
resident_macrophage,AAH,11,11,1,10,10,0.5304334195976445,0.4062977212988262,0.12413569829881825,0.009900990099009901,1.0
resident_macrophage,AIS,14,14,1,13,13,0.598122445179524,0.4150010085615389,0.18312143661798508,0.009900990099009901,1.0
resident_macrophage,MIA,4,4,1,3,3,0.6511629168533112,0.4209121600577486,0.23025075679556253,0.009900990099009901,1.0
resident_macrophage,LUAD,26,26,1,25,25,0.6199191593709483,0.4188747059890089,0.20104445338193946,0.009900990099009901,1.0
spp1_macrophage,Normal,1,1,0,1,1,0.5791840668165756,0.3743302280758111,0.20485383874076452,0.009900990099009901,1.0
spp1_macrophage,AAH,11,11,1,10,10,0.5617434218571905,0.406543306057445,0.15520011579974552,0.009900990099009901,1.0
spp1_macrophage,AIS,14,14,1,13,13,0.6445540541009824,0.4144285329489872,0.23012552115199517,0.009900990099009901,1.0
spp1_macrophage,MIA,4,4,1,3,3,0.7360484639864208,0.42034124859923666,0.3157072153871841,0.009900990099009901,1.0
spp1_macrophage,LUAD,26,26,1,25,25,0.7108312868811136,0.41931309099342223,0.29151819588769134,0.009900990099009901,1.0
