stage,signature,n_samples,mean_score,sd_score
AAH,c1q_macrophage,11,0.18211748388915935,0.2830719876987891
AAH,epithelial_progenitor_like,11,0.3434660926694576,0.26450955471967447
AAH,inflammatory_macrophage,11,0.0905265072304487,0.15622126437190223
AAH,proliferating_epithelial,11,0.15792569822590177,0.05748567663655776
AAH,resident_macrophage,11,0.029817173597661065,0.047197216738261105
AAH,spp1_macrophage,11,0.07164743362419813,0.11133109545037927
AIS,c1q_macrophage,14,0.05212303779154949,0.12506651551504872
AIS,epithelial_progenitor_like,14,0.23768491780663967,0.1437344417454514
AIS,inflammatory_macrophage,14,0.019836265808431872,0.05453397791854124
AIS,proliferating_epithelial,14,0.17098148975691527,0.05052027127056482
AIS,resident_macrophage,14,0.009908589525367233,0.029779554854154774
AIS,spp1_macrophage,14,0.02424270473800547,0.0664055185349251
LUAD,c1q_macrophage,26,0.1546017640283428,0.26394934477177523
LUAD,epithelial_progenitor_like,26,0.3530540604661805,0.2671170520804945
LUAD,inflammatory_macrophage,26,0.07741876473386154,0.1408935827359592
LUAD,proliferating_epithelial,26,0.2130165212691759,0.07300443423789094
LUAD,resident_macrophage,26,0.027434434588799746,0.04912275580537044
LUAD,spp1_macrophage,26,0.0764405592174985,0.13506380568147222
MIA,c1q_macrophage,4,0.010183322518401369,0.00704805693610278
MIA,epithelial_progenitor_like,4,0.1639645358910513,0.10966383378801041
MIA,inflammatory_macrophage,4,0.003737079126696485,0.0026127748717238797
MIA,proliferating_epithelial,4,0.14212613463492665,0.09560268617221208
MIA,resident_macrophage,4,0.001285362660980136,0.0008587507000649392
MIA,spp1_macrophage,4,0.0040003200202280405,0.0027006996593081007
Normal,c1q_macrophage,1,0.018022096204823194,
Normal,epithelial_progenitor_like,1,0.21136851554439942,
Normal,inflammatory_macrophage,1,0.00425610591950182,
Normal,proliferating_epithelial,1,0.17833784391975246,
Normal,resident_macrophage,1,0.00163209525113765,
Normal,spp1_macrophage,1,0.004375657615131912,
