stage,context,score,n_samples,mean_score,sd_score,total_cells
AIS,all_cells,epithelial,1,0.4218439965137365,,5107
AIS,all_cells,epithelial_progenitor_like,1,0.32330832659113357,,5107
AIS,all_cells,inflammatory_macrophage,1,0.25741341664844114,,5107
AIS,all_cells,macrophage,1,0.12410395653450035,,5107
AIS,all_cells,refined_epithelial_progenitor_like,1,0.3202072353629075,,5107
AIS,all_cells,refined_inflammatory_macrophage,1,0.260483169129962,,5107
AIS,all_cells,refined_spp1_macrophage,1,0.12076615897381004,,5107
AIS,all_cells,spp1_macrophage,1,0.2710365463551586,,5107
AIS,epithelial,epithelial,1,1.0939145370563381,,1683
AIS,epithelial,epithelial_progenitor_like,1,0.8350602287766199,,1683
AIS,epithelial,inflammatory_macrophage,1,0.2751745131311695,,1683
AIS,epithelial,macrophage,1,0.03692863949126523,,1683
AIS,epithelial,refined_epithelial_progenitor_like,1,0.6357953079532409,,1683
AIS,epithelial,refined_inflammatory_macrophage,1,0.23766205258634118,,1683
AIS,epithelial,refined_spp1_macrophage,1,0.16324279293418736,,1683
AIS,epithelial,spp1_macrophage,1,0.34708160847334074,,1683
AIS,macrophage,epithelial,1,0.07029685756571778,,493
AIS,macrophage,epithelial_progenitor_like,1,0.04261020732410563,,493
AIS,macrophage,inflammatory_macrophage,1,0.5002382189210008,,493
AIS,macrophage,macrophage,1,0.8391519347736273,,493
AIS,macrophage,refined_epithelial_progenitor_like,1,0.1481094123266,,493
AIS,macrophage,refined_inflammatory_macrophage,1,0.3554264426142155,,493
AIS,macrophage,refined_spp1_macrophage,1,0.2774377310414719,,493
AIS,macrophage,spp1_macrophage,1,0.7386999453723214,,493
Normal,all_cells,epithelial,1,0.21850640537486285,,2631
Normal,all_cells,epithelial_progenitor_like,1,0.141914074595504,,2631
Normal,all_cells,inflammatory_macrophage,1,0.16267910186798146,,2631
Normal,all_cells,macrophage,1,0.166975150154298,,2631
Normal,all_cells,refined_epithelial_progenitor_like,1,0.17916668627572171,,2631
Normal,all_cells,refined_inflammatory_macrophage,1,0.2142863957174072,,2631
Normal,all_cells,refined_spp1_macrophage,1,0.10148305255173873,,2631
Normal,all_cells,spp1_macrophage,1,0.20986055996719108,,2631
Normal,epithelial,epithelial,1,1.1824667929451425,,409
Normal,epithelial,epithelial_progenitor_like,1,0.7214810240770747,,409
Normal,epithelial,inflammatory_macrophage,1,0.1902883646391678,,409
Normal,epithelial,macrophage,1,0.026823095779156245,,409
Normal,epithelial,refined_epithelial_progenitor_like,1,0.525656269517689,,409
Normal,epithelial,refined_inflammatory_macrophage,1,0.181434482818147,,409
Normal,epithelial,refined_spp1_macrophage,1,0.1317871108748197,,409
Normal,epithelial,spp1_macrophage,1,0.27994811026625455,,409
Normal,macrophage,epithelial,1,0.03347369748141607,,370
Normal,macrophage,epithelial_progenitor_like,1,0.02091922418296297,,370
Normal,macrophage,inflammatory_macrophage,1,0.40240359370358014,,370
Normal,macrophage,macrophage,1,0.8750746749621886,,370
Normal,macrophage,refined_epithelial_progenitor_like,1,0.0963104268603578,,370
Normal,macrophage,refined_inflammatory_macrophage,1,0.3057757132425574,,370
Normal,macrophage,refined_spp1_macrophage,1,0.24595708270340208,,370
Normal,macrophage,spp1_macrophage,1,0.6065403621529935,,370
